Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1017.159973,1017.520020,1007.500000,1011.619995,1011.619995,612700000
2020-01-03,1016.719971,1021.489990,1012.969971,1021.489990,1021.489990,1083700000
2020-01-06,1012.929993,1016.159973,1005.830017,1010.229980,1010.229980,1118000000
2020-01-07,1013.780029,1016.530029,1008.489990,1014.640015,1014.640015,1186500000
2020-01-08,1007.099976,1010.440002,1004.099976,1005.450012,1005.450012,1373600000
2020-01-09,1011.489990,1016.840027,1009.859985,1016.840027,1016.840027,1042000000
2020-01-10,1020.169983,1021.109985,1016.409973,1018.010010,1018.010010,965200000
2020-01-13,1021.590027,1025.290039,1018.710022,1025.290039,1025.290039,1143700000
2020-01-14,1028.239990,1032.319946,1025.459961,1032.319946,1032.319946,1227900000
2020-01-15,1032.510010,1036.619995,1018.549988,1025.069946,1025.069946,1277400000
2020-01-16,1023.200012,1028.270020,1017.780029,1025.810059,1025.810059,1154000000
2020-01-17,1027.630005,1029.660034,1023.340027,1029.640015,1029.640015,931000000
2020-01-20,1034.939941,1035.420044,1020.650024,1022.010010,1022.010010,1056300000
2020-01-21,1023.979980,1025.130005,1017.960022,1022.679993,1022.679993,846500000
2020-01-22,1024.170044,1026.969971,1019.900024,1020.840027,1020.840027,987100000
2020-01-23,1023.729980,1025.619995,1019.380005,1024.589966,1024.589966,802000000
2020-01-24,1022.840027,1028.630005,1020.059998,1025.500000,1025.500000,708100000
2020-01-27,1024.650024,1024.910034,1003.650024,1003.789978,1003.789978,893900000
2020-01-28,997.580017,1001.669983,989.390015,1000.669983,1000.669983,983000000
2020-01-29,1003.669983,1009.150024,998.559998,1000.320007,1000.320007,877600000
2020-01-30,1004.840027,1004.890015,986.809998,987.200012,987.200012,806800000
2020-01-31,991.400024,991.789978,961.979980,961.979980,961.979980,1328500000
2020-02-03,956.390015,965.260010,950.169983,953.260010,953.260010,1092300000
2020-02-04,970.630005,970.630005,961.280029,964.840027,964.840027,1344800000
2020-02-05,972.640015,976.559998,964.479980,976.559998,976.559998,1167000000
2020-02-06,983.330017,984.609985,973.200012,975.710022,975.710022,1053900000
2020-02-07,976.570007,979.450012,974.590027,977.000000,977.000000,1069000000
2020-02-10,974.960022,975.820007,962.969971,968.340027,968.340027,1175900000
2020-02-11,971.700012,973.940002,964.929993,967.380005,967.380005,805000000
2020-02-12,968.340027,969.580017,958.539978,960.979980,960.979980,1089800000
2020-02-13,963.530029,964.900024,951.809998,954.210022,954.210022,902900000
2020-02-14,949.609985,958.460022,946.989990,953.950012,953.950012,905300000
2020-02-17,952.880005,957.919983,950.520020,954.169983,954.169983,845500000
2020-02-18,951.570007,963.549988,951.119995,956.280029,956.280029,1094500000
2020-02-19,960.000000,964.659973,959.929993,964.390015,964.390015,1018400000
2020-02-20,967.989990,971.650024,965.039978,968.539978,968.539978,1106100000
2020-02-21,968.169983,968.989990,955.859985,957.369995,957.369995,1224000000
2020-02-24,948.119995,953.909973,939.090027,941.520020,941.520020,1416900000
2020-02-25,935.159973,947.179993,932.760010,941.679993,941.679993,1144700000
2020-02-26,933.650024,935.039978,922.659973,922.659973,922.659973,1364100000
2020-02-27,920.119995,920.659973,889.659973,892.760010,892.760010,1430000000
2020-02-28,866.119995,880.330017,846.020020,879.530029,879.530029,2010100000
2020-03-02,880.219971,888.219971,859.330017,859.330017,859.330017,1531100000
2020-03-03,876.270020,900.190002,874.630005,891.940002,891.940002,1519300000
2020-03-04,893.690002,923.960022,892.140015,922.510010,922.510010,1500000000
2020-03-05,931.969971,935.479980,912.599976,919.690002,919.690002,1187500000
2020-03-06,902.659973,903.599976,887.030029,887.030029,887.030029,1034600000
2020-03-09,852.780029,855.559998,813.750000,813.750000,813.750000,1578600000
2020-03-10,816.919983,848.159973,816.909973,832.469971,832.469971,1709500000
2020-03-11,835.320007,841.950012,811.030029,819.770020,819.770020,1729100000
2020-03-12,790.919983,798.780029,769.640015,769.640015,769.640015,1575400000
2020-03-13,769.640015,786.210022,717.520020,777.270020,777.270020,2538000000
2020-03-16,777.270020,777.270020,729.630005,731.950012,731.950012,1333200000
2020-03-17,731.950012,734.219971,682.820007,683.659973,683.659973,1539900000
2020-03-18,683.659973,689.469971,647.150024,655.630005,655.630005,1875000000
2020-03-19,655.630005,655.630005,610.750000,612.119995,612.119995,1149800000
2020-03-20,612.119995,642.349976,573.570007,624.760010,624.760010,3598300000
2020-03-23,624.760010,624.760010,583.000000,583.409973,583.409973,1465800000
2020-03-24,583.409973,614.929993,566.340027,566.830017,566.830017,2645400000
2020-03-26,566.830017,660.289978,566.049988,651.409973,651.409973,4434500000
2020-03-27,651.409973,730.229980,651.409973,698.780029,698.780029,3961900000
2020-03-30,698.780029,698.780029,653.229980,670.770020,670.770020,1459600000
2020-03-31,670.770020,703.400024,670.770020,691.130005,691.130005,2351300000
2020-04-01,691.130005,710.859985,671.090027,678.299988,678.299988,2109200000
2020-04-02,678.299988,688.109985,660.570007,688.109985,688.109985,1845800000
2020-04-03,688.109985,702.419983,687.809998,702.419983,702.419983,2202700000
2020-04-06,702.419983,736.729980,702.419983,736.729980,736.729980,2962900000
2020-04-07,736.729980,771.210022,718.020020,729.739990,729.739990,3564500000
2020-04-08,729.739990,730.179993,689.929993,697.729980,697.729980,1989400000
2020-04-09,697.729980,707.679993,684.640015,700.059998,700.059998,2091500000
2020-04-13,700.059998,701.950012,686.979980,693.479980,693.479980,1350400000
2020-04-14,693.479980,712.260010,693.479980,712.260010,712.260010,2010900000
2020-04-15,712.260010,721.260010,690.380005,694.440002,694.440002,2303600000
2020-04-16,694.440002,694.440002,660.049988,662.690002,662.690002,2084200000
2020-04-17,662.690002,697.190002,662.690002,695.469971,695.469971,2291600000
2020-04-20,695.469971,702.650024,682.849976,682.849976,682.849976,1667700000
2020-04-21,682.849976,682.849976,665.479980,667.630005,667.630005,1581300000
2020-04-22,667.630005,687.510010,654.859985,682.400024,682.400024,2093800000
2020-04-23,682.400024,695.340027,682.400024,684.719971,684.719971,1926300000
2020-04-24,684.719971,685.000000,663.700012,663.700012,663.700012,1776100000
2020-04-27,663.700012,674.049988,660.789978,669.760010,669.760010,1485800000
2020-04-28,669.760010,673.369995,664.390015,671.169983,671.169983,1722700000
2020-04-29,671.169983,681.330017,669.630005,680.460022,680.460022,1683000000
2020-04-30,680.460022,718.000000,680.460022,713.640015,713.640015,2784800000
2020-05-04,713.640015,713.640015,682.109985,689.330017,689.330017,1672900000
2020-05-05,689.330017,702.270020,687.229980,690.960022,690.960022,1558400000
2020-05-06,690.960022,694.559998,684.400024,687.440002,687.440002,1664200000
2020-05-08,687.440002,693.049988,684.309998,686.229980,686.229980,2180700000
2020-05-11,686.229980,697.940002,686.229980,695.289978,695.289978,2030000000
2020-05-12,695.289978,696.859985,675.400024,681.669983,681.669983,2023100000
2020-05-13,681.669983,681.669983,666.940002,674.469971,674.469971,1959500000
2020-05-14,674.469971,675.270020,658.059998,661.520020,661.520020,2213800000
2020-05-15,661.520020,667.609985,648.650024,657.099976,657.099976,2333200000
2020-05-18,657.099976,663.619995,653.549988,660.469971,660.469971,1889800000
2020-05-19,660.469971,683.700012,660.469971,671.070007,671.070007,2229700000
2020-05-20,671.070007,675.099976,664.190002,672.140015,672.140015,1593000000
2020-05-26,672.140015,691.500000,671.200012,689.330017,689.330017,2235500000
2020-05-27,689.330017,693.859985,683.929993,693.859985,693.859985,2698400000
2020-05-28,693.859985,716.179993,693.419983,709.359985,709.359985,3355900000
2020-05-29,709.359985,725.830017,706.179993,725.830017,725.830017,6981100000
2020-06-02,725.830017,757.909973,725.830017,749.520020,749.520020,3992900000
2020-06-03,749.520020,772.070007,748.190002,770.659973,770.659973,4956500000
2020-06-04,770.659973,786.169983,760.210022,764.609985,764.609985,4375200000
2020-06-05,764.609985,772.830017,748.229980,770.669983,770.669983,3601000000
2020-06-08,770.669983,803.780029,770.669983,795.289978,795.289978,4360900000
2020-06-09,795.289978,808.979980,782.640015,782.640015,782.640015,3462600000
2020-06-10,782.640015,782.919983,754.200012,758.950012,758.950012,3477700000
2020-06-11,758.950012,762.280029,736.349976,745.309998,745.309998,2893700000
2020-06-12,745.309998,753.090027,715.900024,752.109985,752.109985,3414400000
2020-06-15,752.109985,760.469971,738.270020,739.859985,739.859985,2740000000
2020-06-16,739.859985,777.200012,739.859985,776.030029,776.030029,2960400000
2020-06-17,776.030029,782.609985,770.859985,775.460022,775.460022,2476900000
2020-06-18,775.460022,777.989990,761.979980,761.979980,761.979980,2311200000
2020-06-19,761.979980,772.669983,761.979980,767.440002,767.440002,2101300000
2020-06-22,767.440002,769.739990,758.309998,761.210022,761.210022,1505900000
2020-06-23,761.210022,762.590027,752.539978,754.309998,754.309998,1809500000
2020-06-24,754.309998,775.299988,754.309998,771.909973,771.909973,2637100000
2020-06-25,771.909973,771.909973,757.020020,760.049988,760.049988,1763100000
2020-06-26,760.049988,770.080017,758.419983,760.299988,760.299988,1781300000
2020-06-29,760.299988,762.340027,751.940002,759.619995,759.619995,1538100000
2020-06-30,759.619995,766.150024,756.200012,756.200012,756.200012,2042300000
2020-07-01,756.200012,760.780029,753.489990,759.380005,759.380005,1515000000
2020-07-02,759.380005,769.820007,759.380005,769.820007,769.820007,2479700000
2020-07-03,769.820007,775.479980,769.140015,770.960022,770.960022,2115100000
2020-07-06,770.960022,778.510010,770.650024,775.299988,775.299988,2025900000
2020-07-07,775.299988,781.590027,774.739990,775.900024,775.900024,2135500000
2020-07-08,775.900024,798.719971,775.809998,796.590027,796.590027,2679000000
2020-07-09,796.590027,804.099976,789.239990,789.539978,789.539978,2540500000
2020-07-10,789.539978,794.049988,784.559998,784.559998,784.559998,1586400000
2020-07-13,784.559998,794.280029,782.559998,791.849976,791.849976,1570500000
2020-07-14,791.849976,798.280029,790.650024,795.330017,795.330017,1785200000
2020-07-15,795.330017,804.059998,793.500000,793.950012,793.950012,2099300000
2020-07-16,793.950012,801.169983,793.950012,797.849976,797.849976,1707000000
2020-07-17,797.849976,799.789978,792.820007,792.820007,792.820007,1578900000
2020-07-20,792.820007,797.109985,781.599976,785.830017,785.830017,1585700000
2020-07-21,785.830017,806.630005,784.960022,800.479980,800.479980,2477100000
2020-07-22,800.479980,806.510010,797.580017,799.719971,799.719971,2447300000
2020-07-23,799.719971,811.280029,799.719971,806.549988,806.549988,2669500000
2020-07-24,806.549988,807.030029,791.140015,791.140015,791.140015,1870600000
2020-07-27,791.140015,800.359985,790.440002,800.359985,800.359985,1663000000
2020-07-28,800.359985,807.090027,796.700012,799.679993,799.679993,1642600000
2020-07-29,799.679993,800.380005,793.460022,795.380005,795.380005,1809400000
